respid;scn;choice;svc_inf1;svc_inf2;svc_inf3;svc_avq1;svc_avq2;svc_avq3;svc_avd1;svc_avd2;svc_avd3;need_inf;need_avq;need_avd;need_total;cost1;cost2;cost3;wait1;wait2;wait3;liv1;liv2;liv3;sup1;sup2;sup3;svc_total1;svc_total2;svc_total3;age;target_age;income;prob_adl;smaf;college;univ;needs_level;prob_help_adl;help_adl_miss;female;couple;adl_miss;low_adl_prob;med_adl_prob;high_adl_prob;ln_income;age_norm
7404;1;2;2.165;4.33;6.495;10.825;1.0825;3.2475;5.4125;5.4125;29.2275;8.66;15.155;57.3725;81.1875;500;200;500;.0833333;0;0;"rpa";"rpa";"home";"non-profit";"public";"for-profit";18.4025;10.825;38.97;62;80;3693.723;0;3;0;0;.4360465;0;1;1;1;1;0;0;0;3.60922;7
7404;2;1;1.0825;5.4125;7.5775;28.145;14.0725;3.2475;6.495;46.5475;46.5475;9.7425;28.145;61.7025;99.59;500;1500;2000;0;.0833333;.25;"home";"rpa";"rpa";"public";"non-profit";"for-profit";35.7225;66.0325;57.3725;62;80;3693.723;0;6;0;0;.5348837;0;1;1;1;1;0;0;0;3.60922;7
7404;3;1;3.2475;1.0825;11.9075;16.2375;7.5775;32.475;61.7025;15.155;61.7025;11.9075;32.475;61.7025;106.085;1600;200;2500;.1666667;.25;0;"home";"home";"chsld";"non-profit";"for-profit";"public";81.1875;23.815;106.085;62;80;3693.723;0;7;0;0;.5697674;0;1;1;1;1;0;0;0;3.60922;7
7404;4;1;17.32;17.32;17.32;19.485;58.455;77.94;16.2375;47.63;63.8675;17.32;77.94;63.8675;159.1275;2100;3600;1700;.25;.1666667;.6666667;"rpa";"home";"ri";"for-profit";"non-profit";"public";53.0425;123.405;159.1275;62;80;3693.723;0;11;0;0;.8546512;0;1;1;1;1;0;0;0;3.60922;7
7411;1;1;6.495;8.66;4.33;3.2475;1.0825;15.155;57.3725;14.0725;14.0725;8.66;15.155;57.3725;81.1875;1600;300;300;.0833333;.1666667;.3333333;"home";"home";"rpa";"non-profit";"public";"non-profit";67.115;23.815;33.5575;68;80;6000;.25;3;0;1;.4360465;0;0;1;0;0;0;0;0;4.094345;13
7411;2;1;2.165;2.165;7.5775;6.495;6.495;20.5675;15.155;15.155;46.5475;9.7425;28.145;61.7025;99.59;100;600;1400;.1666667;.0833333;.3333333;"home";"rpa";"rpa";"non-profit";"non-profit";"for-profit";23.815;23.815;74.6925;68;80;6000;.25;6;0;1;.5348837;0;0;1;0;0;0;0;0;4.094345;13
7411;3;3;7.5775;15.155;15.155;16.2375;62.785;62.785;31.3925;62.785;62.785;15.155;62.785;62.785;140.725;1800;1200;2500;0;.25;1.333333;"rpa";"home";"chsld";"for-profit";"public";"public";55.2075;140.725;140.725;68;80;6000;.25;10;0;1;.755814;0;0;1;0;0;0;0;0;4.094345;13
7411;4;3;8.66;2.165;16.2375;76.8575;7.5775;76.8575;6.495;47.63;62.785;16.2375;76.8575;62.785;155.88;4300;800;2500;.0833333;.3333333;.3333333;"home";"rpa";"chsld";"non-profit";"for-profit";"for-profit";92.0125;57.3725;155.88;68;80;6000;.25;12;0;1;.8372093;0;0;1;0;0;0;0;0;4.094345;13
7413;1;3;2.165;4.33;8.66;1.0825;10.825;1.0825;5.4125;5.4125;43.3;8.66;15.155;57.3725;81.1875;100;1100;1300;.0833333;.1666667;.25;"rpa";"home";"home";"non-profit";"public";"for-profit";8.66;20.5675;53.0425;61;75;6730.2194;.02;3;0;1;.4360465;0;0;0;1;0;1;0;0;4.209193;6
7413;2;2;3.2475;5.4125;4.33;2.165;2.165;4.33;53.0425;12.99;12.99;5.4125;18.4025;53.0425;76.8575;1300;100;900;.3333333;0;.3333333;"rpa";"home";"rpa";"non-profit";"non-profit";"public";58.455;20.5675;21.65;61;75;6730.2194;.02;4;0;1;.4127907;0;0;0;1;0;1;0;0;4.209193;6
