,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-1.0045894435097071,0.0693324955194752,-14.489445908196426,True
1,liv_rpa,needs_level,0.8204831292843637,0.11923333532032264,6.881323306775912,True
2,liv_ri,constant,-0.29165284848141865,0.34067618069402444,-0.8560999124953919,True
3,liv_ri,needs_level,0.678686244018176,0.43505001999364,1.5600188778938515,True
4,liv_chsld,constant,-1.591266946574578,0.2627373312009998,-6.056493530252174,True
5,liv_chsld,needs_level,2.041835550886704,0.33800487842872995,6.040846393633444,True
6,sup_pri,constant,-0.06298835935203873,0.079531125741633,-0.7919963255224682,True
7,sup_pri,needs_level,0.06974405732781845,0.12526237126479708,0.5567837860931415,True
8,sup_npf,constant,0.039241421191677096,0.0827765266336801,0.4740646024607483,True
9,sup_npf,needs_level,-0.06612862808974677,0.139719798362318,-0.4732946143986239,True
10,svc_inf,constant,-0.5811037147614289,0.24418832232054277,-2.3797358908859767,True
11,svc_inf,needs_level,-1.8465937519333488,0.4811692396455387,-3.8377219485054215,True
12,svc_avq,constant,-1.2162269057364596,0.23620435150687716,-5.14904529902807,True
13,svc_avq,needs_level,-0.9435468516782243,0.4667017433466503,-2.0217341484781843,True
14,svc_avd,constant,-0.6485134773692152,0.15819961629348012,-4.099336601209838,True
15,svc_avd,needs_level,-1.3803584484978264,0.3362908828151539,-4.1046561742696905,True
16,cons,constant,-0.4284827038449389,0.24084551123427994,-1.7790769761456624,True
17,cons,needs_level,-0.8945191428035137,0.3393675500473516,-2.635841708138278,True
18,wait,constant,-0.911910017735926,0.8136733989911454,-1.12073224818039,True
19,wait,needs_level,-0.7601516148823503,1.139654574372008,-0.6670017670057807,True
