,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-0.5586666986077466,0.023351987405487894,-23.923732438998137,True
1,liv_ri,constant,-0.0018931411032507683,0.0672972286788039,-0.02813104106093802,True
2,liv_chsld,constant,-0.18702735294748685,0.050917225507746355,-3.6731646526779667,True
3,sup_pri,constant,-0.023944900535062985,0.02920160897233413,-0.81998565756252,True
4,sup_npf,constant,0.005259613283283436,0.03216510037996295,0.1635192559995827,True
5,svc_inf,constant,-1.6461245841649705,0.09739911175612032,-16.900817209573088,True
6,svc_avq,constant,-1.7304737687289413,0.09764364483439066,-17.72233893628127,True
7,svc_avd,constant,-1.3836075159970596,0.07090239333447558,-19.514256866760718,True
8,cons,constant,-0.996953107926134,0.05546032585049724,-17.975969175038585,True
9,wait,constant,-1.4611010170489822,0.22611091586142293,-6.461877399782194,True
