,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-1.0391010464245032,0.08749470366745023,-11.876159388731885,True
1,liv_rpa,needs_level,0.7885570707081807,0.13722644972214249,5.746392712956278,True
2,liv_rpa,prob_help_adl,-0.20546269726149688,0.10925309339853603,-1.88061217188611,True
3,liv_rpa,help_adl_miss,-0.15222086608627647,0.09553204955499442,-1.5934010292393894,True
4,liv_ri,constant,-0.2312056291781075,0.4377901184940145,-0.5281197985314248,True
5,liv_ri,needs_level,0.7635895348906281,0.5425876016587345,1.4073110637918607,True
6,liv_ri,prob_help_adl,-0.29104597116926595,0.25310707107265035,-1.1498926914046026,True
7,liv_ri,help_adl_miss,-0.39454307489883866,0.24991943133685773,-1.578681068488219,True
8,liv_chsld,constant,-3.1036462918707084,0.4136841047747124,-7.502454786269631,True
9,liv_chsld,needs_level,4.0330420464664485,0.5009178355014064,8.051304546641811,True
10,liv_chsld,prob_help_adl,-0.6131206102777716,0.2683803489549886,-2.2845212500286345,True
11,liv_chsld,help_adl_miss,-1.064348313873723,0.2624193222934998,-4.05590680050349,True
12,sup_pri,constant,-0.032575864755313134,0.0346338291906265,-0.9405793559820886,True
13,sup_pri,needs_level,0.0,,,False
14,sup_pri,prob_help_adl,0.0,,,False
15,sup_pri,help_adl_miss,0.0,,,False
16,sup_npf,constant,-0.009091027916805392,0.036668797624256684,-0.24792271647302688,True
17,sup_npf,needs_level,0.0,,,False
18,sup_npf,prob_help_adl,0.0,,,False
19,sup_npf,help_adl_miss,0.0,,,False
20,svc_inf,constant,-0.6440841804956019,0.2408318909686541,-2.6744139985158104,True
21,svc_inf,needs_level,-1.622453199448631,0.42887514224888135,-3.7830432207868605,True
22,svc_inf,prob_help_adl,0.6938766234077297,0.22181786549398713,3.1281367795261685,True
23,svc_inf,help_adl_miss,-0.3299417487536591,0.38736521596414303,-0.8517588445117401,True
24,svc_avq,constant,-1.142514887922334,0.23629006703554725,-4.835221819757895,True
25,svc_avq,needs_level,-0.6566098652995424,0.42528757550926094,-1.543919698367121,True
26,svc_avq,prob_help_adl,0.08035118888825081,0.264137147585593,0.30420253123318525,True
27,svc_avq,help_adl_miss,-0.18586199728852296,0.319613276077994,-0.5815215174077054,True
28,svc_avd,constant,-0.9250501168306865,0.18322339746144164,-5.048755397221353,True
29,svc_avd,needs_level,-1.00685399364483,0.31115985947622,-3.235809385374072,True
30,svc_avd,prob_help_adl,0.5888964189530908,0.18806997802420738,3.1312622308983897,True
31,svc_avd,help_adl_miss,-0.3541498494143423,0.26298552606535475,-1.3466514857792298,True
32,cons,constant,-1.4615974201437987,0.3430943161555038,-4.26004556566698,True
33,cons,needs_level,-0.5803383588111486,0.3791695081519074,-1.5305512345645855,True
34,cons,prob_help_adl,0.5999860220015748,0.2613182745984974,2.295997181687441,True
35,cons,help_adl_miss,0.5531645043198646,0.23466675550412677,2.3572342112606437,True
36,wait,constant,-1.0057284929618766,0.21137725954994696,-4.757978673312444,True
37,wait,needs_level,0.0,,,False
38,wait,prob_help_adl,0.0,,,False
39,wait,help_adl_miss,0.0,,,False
40,uh,ln_sig_00,-0.1771733104479957,0.06532051366379882,-2.712368603833969,True
41,uh,rho_01,0,,,False
42,uh,rho_02,0,,,False
43,uh,rho_03,0,,,False
44,uh,rho_04,0,,,False
45,uh,rho_05,0,,,False
46,uh,rho_06,0,,,False
47,uh,rho_07,0,,,False
48,uh,rho_08,0,,,False
49,uh,rho_09,0,,,False
50,uh,ln_sig_11,0.3116947314936752,0.14100739172528948,2.210485051031358,True
51,uh,rho_12,0,,,False
52,uh,rho_13,0,,,False
53,uh,rho_14,0,,,False
54,uh,rho_15,0,,,False
55,uh,rho_16,0,,,False
56,uh,rho_17,0,,,False
57,uh,rho_18,0,,,False
58,uh,rho_19,0,,,False
59,uh,ln_sig_22,0.9515921434338999,0.06776389462498633,14.042760509857453,True
60,uh,rho_23,0,,,False
61,uh,rho_24,0,,,False
62,uh,rho_25,0,,,False
63,uh,rho_26,0,,,False
64,uh,rho_27,0,,,False
65,uh,rho_28,0,,,False
66,uh,rho_29,0,,,False
67,uh,ln_sig_33,-13.815510557964274,,,False
68,uh,rho_34,0,,,False
69,uh,rho_35,0,,,False
70,uh,rho_36,0,,,False
71,uh,rho_37,0,,,False
72,uh,rho_38,0,,,False
73,uh,rho_39,0,,,False
74,uh,ln_sig_44,-13.815510557964274,,,False
75,uh,rho_45,0,,,False
76,uh,rho_46,0,,,False
77,uh,rho_47,0,,,False
78,uh,rho_48,0,,,False
79,uh,rho_49,0,,,False
80,uh,ln_sig_55,-9.310339752639024,2635.776640851728,-0.003532294659698657,True
81,uh,rho_56,0,,,False
82,uh,rho_57,0,,,False
83,uh,rho_58,0,,,False
84,uh,rho_59,0,,,False
85,uh,ln_sig_66,-12.871780434019044,98645.36640852707,-0.00013048540344725594,True
86,uh,rho_67,0,,,False
87,uh,rho_68,0,,,False
88,uh,rho_69,0,,,False
89,uh,ln_sig_77,-0.4153196671625947,0.20336450555815672,-2.042242652043449,True
90,uh,rho_78,0,,,False
91,uh,rho_79,0,,,False
92,uh,ln_sig_88,0.5771453005982439,0.06914908775777225,8.346390665629189,True
93,uh,rho_89,0,,,False
94,uh,ln_sig_99,-13.815510557964274,,,False
