,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-1.0143394833194685,0.08670262575662958,-11.699063026841591,True
1,liv_rpa,needs_level,0.7712318617550088,0.1343642711522283,5.739858186565385,True
2,liv_rpa,prob_help_adl,-0.19742690939123442,0.10945358358801087,-1.803750073038813,True
3,liv_rpa,help_adl_miss,-0.12383416091404013,0.11161065529929906,-1.1095191635777255,True
4,liv_rpa,adl_miss,-0.0008597470955683572,0.09684063987735238,-0.00887795760805812,True
5,liv_ri,constant,-0.22305274186185475,0.4709898545520586,-0.47358290142787074,True
6,liv_ri,needs_level,0.7936614973222329,0.5806558200721529,1.3668363768809064,True
7,liv_ri,prob_help_adl,-0.22325687709068037,0.28057520654247936,-0.7957113525527391,True
8,liv_ri,help_adl_miss,-0.29993067692474945,0.2948037034623831,-1.0173911433341967,True
9,liv_ri,adl_miss,-0.11153807948422623,0.24379480355924507,-0.4575080266512782,True
10,liv_chsld,constant,-3.1222112774981436,0.4132304825380943,-7.555617045289774,True
11,liv_chsld,needs_level,4.09185149437451,0.5001633154632701,8.181030811075146,True
12,liv_chsld,prob_help_adl,-0.6016893441742257,0.27156922021630076,-2.215602135230897,True
13,liv_chsld,help_adl_miss,-1.103397149621248,0.2940401022377067,-3.752539674772811,True
14,liv_chsld,adl_miss,-0.15019211291448178,0.23722371878317805,-0.6331243506546537,True
15,sup_pri,constant,-0.04401610752660253,0.03378657611197534,-1.302769105124015,True
16,sup_pri,needs_level,0.0,,,False
17,sup_pri,prob_help_adl,0.0,,,False
18,sup_pri,help_adl_miss,0.0,,,False
19,sup_pri,adl_miss,0.0,,,False
20,sup_npf,constant,-0.00967404096587985,0.03541396249905714,-0.2731702493370351,True
21,sup_npf,needs_level,0.0,,,False
22,sup_npf,prob_help_adl,0.0,,,False
23,sup_npf,help_adl_miss,0.0,,,False
24,sup_npf,adl_miss,0.0,,,False
25,svc_inf,constant,-0.8557467995889346,0.25679375065365934,-3.332428446606125,True
26,svc_inf,needs_level,-1.517278098398651,0.4390856126605476,-3.4555404564613745,True
27,svc_inf,prob_help_adl,0.672697100926869,0.22806391354868943,2.949599042038953,True
28,svc_inf,help_adl_miss,-1.1277762647133454,0.6021961171410292,-1.8727723952581212,True
29,svc_inf,adl_miss,0.6049620549805164,0.18397058310768613,3.2883629804358736,True
30,svc_avq,constant,-1.185484743334504,0.250863012308161,-4.725625880144699,True
31,svc_avq,needs_level,-0.6701962585081802,0.45402642767411444,-1.4761172866994992,True
32,svc_avq,prob_help_adl,-0.1511249685931799,0.2924865727240649,-0.5166902780721933,True
33,svc_avq,help_adl_miss,-0.8570018787688599,0.49015130562921,-1.7484435294295948,True
34,svc_avq,adl_miss,0.33152034993539603,0.22948005527073265,1.4446586634480272,True
35,svc_avd,constant,-0.7029356982601476,0.17050795485639234,-4.122597675001053,True
36,svc_avd,needs_level,-1.1488908454876148,0.32299077553190625,-3.5570391866318887,True
37,svc_avd,prob_help_adl,0.5333417928310097,0.18212387404087566,2.9284562259602884,True
38,svc_avd,help_adl_miss,-0.06889689587038314,0.2941082530099357,-0.23425692807082035,True
39,svc_avd,adl_miss,-0.540694258846602,0.26155465304412573,-2.0672324218043405,True
40,cons,constant,-0.7797144437918905,0.25258842849970936,-3.0868969272390387,True
41,cons,needs_level,-0.36329345750660424,0.33404748286350594,-1.0875503518014784,True
42,cons,prob_help_adl,0.38244980370118004,0.1922111035026525,1.9897383487832807,True
43,cons,help_adl_miss,-0.3406794928186434,0.21905630346419888,-1.5552142870626036,True
44,cons,adl_miss,0.4722382428894447,0.16482260521099232,2.8651303156197794,True
45,wait,constant,-1.7531478185182197,0.4241962456291961,-4.132869719103322,True
46,wait,needs_level,0.0,,,False
47,wait,prob_help_adl,0.0,,,False
48,wait,help_adl_miss,0.0,,,False
49,wait,adl_miss,0.0,,,False
50,uh,ln_sig_00,-0.14631549540679065,0.06231311610456636,-2.34806898697317,True
51,uh,rho_01,0,,,False
52,uh,rho_02,0,,,False
53,uh,rho_03,0,,,False
54,uh,rho_04,0,,,False
55,uh,rho_05,0,,,False
56,uh,rho_06,0,,,False
57,uh,rho_07,0,,,False
58,uh,rho_08,0,,,False
59,uh,rho_09,0,,,False
60,uh,ln_sig_11,0.523468304672356,0.12991535562092668,4.0293027884999,True
61,uh,rho_12,0,,,False
62,uh,rho_13,0,,,False
63,uh,rho_14,0,,,False
64,uh,rho_15,0,,,False
65,uh,rho_16,0,,,False
66,uh,rho_17,0,,,False
67,uh,rho_18,0,,,False
68,uh,rho_19,0,,,False
69,uh,ln_sig_22,0.9740356788030896,0.06613547410942762,14.727885328098687,True
70,uh,rho_23,0,,,False
71,uh,rho_24,0,,,False
72,uh,rho_25,0,,,False
73,uh,rho_26,0,,,False
74,uh,rho_27,0,,,False
75,uh,rho_28,0,,,False
76,uh,rho_29,0,,,False
77,uh,ln_sig_33,-11.512925464970229,,,False
78,uh,rho_34,0,,,False
79,uh,rho_35,0,,,False
80,uh,rho_36,0,,,False
81,uh,rho_37,0,,,False
82,uh,rho_38,0,,,False
83,uh,rho_39,0,,,False
84,uh,ln_sig_44,-11.512925464970229,,,False
85,uh,rho_45,0,,,False
86,uh,rho_46,0,,,False
87,uh,rho_47,0,,,False
88,uh,rho_48,0,,,False
89,uh,rho_49,0,,,False
90,uh,ln_sig_55,-18.74626891962911,31285635.503242865,-5.991973190918879e-07,True
91,uh,rho_56,0,,,False
92,uh,rho_57,0,,,False
93,uh,rho_58,0,,,False
94,uh,rho_59,0,,,False
95,uh,ln_sig_66,-21.144022068323302,70156754.23656742,-3.0138255822135113e-07,True
96,uh,rho_67,0,,,False
97,uh,rho_68,0,,,False
98,uh,rho_69,0,,,False
99,uh,ln_sig_77,-10.173707405935424,5026.121349454789,-0.0020241666881041427,True
100,uh,rho_78,0,,,False
101,uh,rho_79,0,,,False
102,uh,ln_sig_88,-24.3756246549452,127487570.00329128,-1.9120000996423343e-07,True
103,uh,rho_89,0,,,False
104,uh,ln_sig_99,0.34605471000081567,0.1804269595440857,1.9179767307238824,True
