,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-3.896361767235811,,,True
1,liv_rpa,needs_level,-1.2054133591936778,,,True
2,liv_rpa,prob_help_adl,-0.9127812222097951,,,True
3,liv_rpa,help_adl_miss,-0.3301534381546135,,,True
4,liv_rpa,age,-237.33518162708205,,,True
5,liv_ri,constant,0.0873054077538352,,,True
6,liv_ri,needs_level,0.7488720389915562,,,True
7,liv_ri,prob_help_adl,-0.4082668713844091,,,True
8,liv_ri,help_adl_miss,-0.4480231804349651,,,True
9,liv_ri,age,2.1923222445440445,,,True
10,liv_chsld,constant,-2.5313962074668934,,,True
11,liv_chsld,needs_level,1.1009144716969828,,,True
12,liv_chsld,prob_help_adl,-1.2293899325114679,,,True
13,liv_chsld,help_adl_miss,-1.2782494170881873,,,True
14,liv_chsld,age,-94.21662735062765,,,True
15,sup_pri,constant,-14.9143425178501,,,True
16,sup_npf,constant,20.29390656345079,,,True
17,svc_inf,constant,0.40512488979110794,,,True
18,svc_inf,needs_level,-1.985764143128888,,,True
19,svc_inf,prob_help_adl,0.47163517891410023,,,True
20,svc_inf,help_adl_miss,-0.5691669775742852,,,True
21,svc_inf,age,-20.599764194192446,,,True
22,svc_avq,constant,-0.4411353882948519,,,True
23,svc_avq,needs_level,-0.9742382804792916,,,True
24,svc_avq,prob_help_adl,-0.15892330326296988,,,True
25,svc_avq,help_adl_miss,-0.4604366490499478,,,True
26,svc_avq,age,-19.880112441493594,,,True
27,svc_avd,constant,-3.572935720535435,,,True
28,svc_avd,needs_level,-1.6094596760967164,,,True
29,svc_avd,prob_help_adl,0.18714005117231913,,,True
30,svc_avd,help_adl_miss,-0.45351381527550894,,,True
31,svc_avd,age,-53.295743902156076,,,True
32,cons,constant,1.5003276439822768,,,True
33,cons,needs_level,0.06825533360996461,,,True
34,cons,prob_help_adl,1.1559168296899185,,,True
35,cons,help_adl_miss,0.45956334186291614,,,True
36,cons,age,82.52060609165642,,,True
37,wait,constant,-7.678993299279621,,,True
38,wait,needs_level,-0.4412926189608052,,,True
39,wait,prob_help_adl,-0.9453640972759976,,,True
40,wait,help_adl_miss,-1.417856342273034,,,True
41,wait,age,16.473923236390817,,,True
42,uh,ln_sig_00,3.5784893336596495,,,True
43,uh,rho_01,0,,,False
44,uh,rho_02,0,,,False
45,uh,rho_03,0,,,False
46,uh,rho_04,0,,,False
47,uh,rho_05,0,,,False
48,uh,rho_06,0,,,False
49,uh,rho_07,0,,,False
50,uh,rho_08,0,,,False
51,uh,rho_09,0,,,False
52,uh,ln_sig_11,-0.3634662327466003,,,True
53,uh,rho_12,0,,,False
54,uh,rho_13,0,,,False
55,uh,rho_14,0,,,False
56,uh,rho_15,0,,,False
57,uh,rho_16,0,,,False
58,uh,rho_17,0,,,False
59,uh,rho_18,0,,,False
60,uh,rho_19,0,,,False
61,uh,ln_sig_22,3.4957256617846495,,,True
62,uh,rho_23,0,,,False
63,uh,rho_24,0,,,False
64,uh,rho_25,0,,,False
65,uh,rho_26,0,,,False
66,uh,rho_27,0,,,False
67,uh,rho_28,0,,,False
68,uh,rho_29,0,,,False
69,uh,ln_sig_33,-13.815510557964274,,,False
70,uh,rho_34,0,,,False
71,uh,rho_35,0,,,False
72,uh,rho_36,0,,,False
73,uh,rho_37,0,,,False
74,uh,rho_38,0,,,False
75,uh,rho_39,0,,,False
76,uh,ln_sig_44,-13.815510557964274,,,False
77,uh,rho_45,0,,,False
78,uh,rho_46,0,,,False
79,uh,rho_47,0,,,False
80,uh,rho_48,0,,,False
81,uh,rho_49,0,,,False
82,uh,ln_sig_55,-1.2207660374341003,,,True
83,uh,rho_56,0,,,False
84,uh,rho_57,0,,,False
85,uh,rho_58,0,,,False
86,uh,rho_59,0,,,False
87,uh,ln_sig_66,-1.3756122288403503,,,True
88,uh,rho_67,0,,,False
89,uh,rho_68,0,,,False
90,uh,rho_69,0,,,False
91,uh,ln_sig_77,-1.1442889866528503,,,True
92,uh,rho_78,0,,,False
93,uh,rho_79,0,,,False
94,uh,ln_sig_88,-0.5073260960278503,,,True
95,uh,rho_89,0,,,False
96,uh,ln_sig_99,-1.2841815647778503,,,True
