,group,label,value,stderr,tvalue,free
0,liv_rpa,constant,-1.0247619237682914,0.08934449256200871,-11.46978279670753,True
1,liv_rpa,needs_level,0.78584888065774,0.13628159952262808,5.766360854366537,True
2,liv_rpa,prob_help_adl,-0.240881624246246,0.11852215966793997,-2.032376265511166,True
3,liv_rpa,help_adl_miss,-0.17214742887573833,0.10384236034826916,-1.6577765403096183,True
4,liv_ri,constant,-0.3007522952124518,0.5111926939639624,-0.588334494533394,True
5,liv_ri,needs_level,0.8988798481076745,0.6291233873404551,1.4287814857870456,True
6,liv_ri,prob_help_adl,-0.2737326271749579,0.3251975474039466,-0.8417425941867233,True
7,liv_ri,help_adl_miss,-0.4831169752211431,0.3108739218873329,-1.5540607983072783,True
8,liv_chsld,constant,-3.4340436376081596,0.4358898720641559,-7.878236815520054,True
9,liv_chsld,needs_level,4.406446562015089,0.5180677451882573,8.505541221088489,True
10,liv_chsld,prob_help_adl,-0.7213461797256421,0.31145598267015095,-2.3160453478576697,True
11,liv_chsld,help_adl_miss,-1.1575629598796522,0.3017439093248593,-3.8362429997995853,True
12,sup_pri,constant,-0.04903638994686489,0.03401717208160081,-1.4415187079406777,True
13,sup_pri,needs_level,0.0,,,False
14,sup_pri,prob_help_adl,0.0,,,False
15,sup_pri,help_adl_miss,0.0,,,False
16,sup_npf,constant,-0.012003954028839714,0.035696773541662466,-0.33627560246669475,True
17,sup_npf,needs_level,0.0,,,False
18,sup_npf,prob_help_adl,0.0,,,False
19,sup_npf,help_adl_miss,0.0,,,False
20,svc_inf,constant,-0.7067129376458863,0.25467627436261764,-2.774946113117871,True
21,svc_inf,needs_level,-1.6370284129523023,0.45486789546488277,-3.5989095499457733,True
22,svc_inf,prob_help_adl,0.7026995686387718,0.23140296750734132,3.0366921228720996,True
23,svc_inf,help_adl_miss,-0.5405713360952688,0.49529366566148525,-1.0914158075761242,True
24,svc_avq,constant,-1.1600602935609392,0.25328183118278186,-4.580116497672417,True
25,svc_avq,needs_level,-0.7115541393143548,0.46821165124874387,-1.5197275365032126,True
26,svc_avq,prob_help_adl,-0.05555217165517059,0.29581763101070224,-0.1877919563663898,True
27,svc_avq,help_adl_miss,-0.3787166921604878,0.385985163451291,-0.9811690396962098,True
28,svc_avd,constant,-0.742242491463612,0.16942474010650838,-4.3809569428703465,True
29,svc_avd,needs_level,-1.116354247602256,0.32239233268408496,-3.4627195948117704,True
30,svc_avd,prob_help_adl,0.5127253669179035,0.18085230642931185,2.8350501967101422,True
31,svc_avd,help_adl_miss,-0.46695352040142085,0.30499000406558574,-1.5310453266560373,True
32,cons,constant,-0.7573396009436499,0.249311142391739,-3.0377286537544848,True
33,cons,needs_level,-0.3201421552178209,0.3302243364984807,-0.9694686909282164,True
34,cons,prob_help_adl,0.4471512727993933,0.19026247895674697,2.3501810512047716,True
35,cons,help_adl_miss,0.0661492366671276,0.17961075815850736,0.36829217439609374,True
36,wait,constant,-0.9633544101443562,0.21578468251752816,-4.464424438774068,True
37,wait,needs_level,0.0,,,False
38,wait,prob_help_adl,0.0,,,False
39,wait,help_adl_miss,0.0,,,False
40,uh,ln_sig_00,-0.03146394959692445,0.059451071633052764,-0.5292410840149023,True
41,uh,rho_01,0,,,False
42,uh,rho_02,0,,,False
43,uh,rho_03,0,,,False
44,uh,rho_04,0,,,False
45,uh,rho_05,0,,,False
46,uh,rho_06,0,,,False
47,uh,rho_07,0,,,False
48,uh,rho_08,0,,,False
49,uh,rho_09,0,,,False
50,uh,ln_sig_11,0.7634293902792526,0.12659173686690178,6.030641566138873,True
51,uh,rho_12,0,,,False
52,uh,rho_13,0,,,False
53,uh,rho_14,0,,,False
54,uh,rho_15,0,,,False
55,uh,rho_16,0,,,False
56,uh,rho_17,0,,,False
57,uh,rho_18,0,,,False
58,uh,rho_19,0,,,False
59,uh,ln_sig_22,1.0838594750266282,0.0671761699033985,16.13458279305374,True
60,uh,rho_23,0,,,False
61,uh,rho_24,0,,,False
62,uh,rho_25,0,,,False
63,uh,rho_26,0,,,False
64,uh,rho_27,0,,,False
65,uh,rho_28,0,,,False
66,uh,rho_29,0,,,False
67,uh,ln_sig_33,-11.512925464970229,,,False
68,uh,rho_34,0,,,False
69,uh,rho_35,0,,,False
70,uh,rho_36,0,,,False
71,uh,rho_37,0,,,False
72,uh,rho_38,0,,,False
73,uh,rho_39,0,,,False
74,uh,ln_sig_44,-11.512925464970229,,,False
75,uh,rho_45,0,,,False
76,uh,rho_46,0,,,False
77,uh,rho_47,0,,,False
78,uh,rho_48,0,,,False
79,uh,rho_49,0,,,False
80,uh,ln_sig_55,-11.512925464970229,,,False
81,uh,rho_56,0,,,False
82,uh,rho_57,0,,,False
83,uh,rho_58,0,,,False
84,uh,rho_59,0,,,False
85,uh,ln_sig_66,-11.512925464970229,,,False
86,uh,rho_67,0,,,False
87,uh,rho_68,0,,,False
88,uh,rho_69,0,,,False
89,uh,ln_sig_77,-13.815510557964274,,,False
90,uh,rho_78,0,,,False
91,uh,rho_79,0,,,False
92,uh,ln_sig_88,-13.815510557964274,,,False
93,uh,rho_89,0,,,False
94,uh,ln_sig_99,-13.815510557964274,,,False
